,pop_est,continent,name,iso_a3,gdp_md_est,geometry
0,28400000.0,Asia,Afghanistan,AFG,22270.0,"POLYGON ((61.21081709172574 35.65007233330923, 62.23065148300589 35.27066396742229, 62.98466230657661 35.40404083916762, 63.19353844590035 35.85716563571891, 63.98289594915871 36.0079574651466, 64.5464791197339 36.31207326918427, 64.74610517767741 37.1118177353333, 65.58894778835784 37.30521678318564, 65.74563073106683 37.66116404881207, 66.21738488145934 37.39379018813392, 66.51860680528867 37.36278432875879, 67.07578209825962 37.35614390720929, 67.82999962755952 37.14499400486469, 68.13556237170138 37.02311513930431, 68.85944583524594 37.3443358424306, 69.19627282092438 37.15114350030743, 69.51878543485796 37.60899669041342, 70.11657840361033 37.58822276463209, 70.27057417184014 37.73516469985402, 70.3763041523093 38.13839590102752, 70.80682050973289 38.48628164321642, 71.34813113799026 38.25890534113216, 71.23940392444817 37.95326508234189, 71.54191775908478 37.90577444106565, 71.44869347523024 37.06564484308052, 71.84463829945059 36.73817129164692, 72.1930408059624 36.94828766534567, 72.63688968291729 37.04755809177836, 73.26005577992501 37.495256862939, 73.9486959166465 37.4215662704908, 74.98000247589542 37.4199901393059, 75.15802778514092 37.13303091078912, 74.57589277537298 37.02084137628346, 74.06755171091783 36.83617564548845, 72.92002485544447 36.72000702569632, 71.84629194528392 36.50994232842986, 71.26234826038575 36.0743875188578, 71.49876793812109 35.650563259416, 71.61307620635071 35.15320343682286, 71.11501875192164 34.73312571872223, 71.15677330921346 34.34891144463215, 70.8818030129884 33.98885590263852, 69.93054324735959 34.02012014417511, 70.3235941913716 33.35853261975839, 69.68714725126486 33.10549896904124, 69.26252200712256 32.5019440780883, 69.31776411324256 31.90141225842444, 68.92667687365767 31.62018911389207, 68.55693200060932 31.71331004488202, 67.79268924344478 31.58293040620963, 67.68339358914747 31.30315420178142, 66.93889122911847 31.30491120047935, 66.38145755398602 30.73889923758645, 66.34647260932442 29.88794342703618, 65.04686201361611 29.47218069103191, 64.35041873561852 29.56003062592809, 64.14800215033125 29.34081920014597, 63.55026085801117 29.46833079682617, 62.54985680527278 29.31857249604431, 60.87424848820879 29.82923899995261, 61.78122155136344 30.73585032808124, 61.69931440618083 31.37950613049267, 60.94194461451113 31.54807465262875, 60.86365481958897 32.18291962333443, 60.53607791529078 32.98126882581157, 60.96370039250601 33.52883230237626, 60.52842980331158 33.67644603121801, 60.80319339380745 34.40410187431986, 61.21081709172574 35.65007233330923))"
1,12799293.0,Africa,Angola,AGO,110300.0,"MULTIPOLYGON (((16.32652835456705 -5.877470391466218, 16.57317996589614 -6.622644545115094, 16.86019087084523 -7.222297865429979, 17.08999596524717 -7.545688978712477, 17.47297000496229 -8.068551120641658, 18.13422163256905 -7.987677504104866, 18.46417565275269 -7.847014255406478, 19.01675174324967 -7.98824594486014, 19.16661339689608 -7.738183688999726, 19.41750247567322 -7.155428562044278, 20.03772301604022 -7.11636117923166, 20.09162153492062 -6.943090101756951, 20.60182295093833 -6.939317722199689, 20.51474816252653 -7.299605808138665, 21.72811079273976 -7.290872491081316, 21.74645592620337 -7.920084730667114, 21.94913089365204 -8.305900974158305, 21.80180138518796 -8.908706556842986, 21.8751819190424 -9.523707777548566, 22.20875328948642 -9.89479623783653, 22.15526818206433 -11.08480112065378, 22.40279829274243 -10.99307545333569, 22.83734541188477 -11.01762175867434, 23.45679080576747 -10.86786345789248, 23.91221520355575 -10.92682626713754, 24.01789350759262 -11.23729827234712, 23.90415368011824 -11.72228158940634, 24.0799052263429 -12.19129688888731, 23.93092207204538 -12.56584767013882, 24.0161365088947 -12.91104623784855, 21.93388634612595 -12.89843718836936, 21.88784264495388 -16.08031015387689, 22.56247846852429 -16.89845142992183, 23.21504845550609 -17.52311614346596, 21.3771761410456 -17.93063648851971, 18.95618696460363 -17.78909474047224, 18.26330936043422 -17.30995086026201, 14.20970665859505 -17.35310068122571, 14.05850141770904 -17.42338062914266, 13.46236209478997 -16.97121184658874, 12.81408125168841 -16.94134286872408, 12.21546146001938 -17.11166838955806, 11.73419884608515 -17.3018893368245, 11.64009606288161 -16.67314218512921, 11.77853722499157 -15.79381601325069, 12.12358076340445 -14.87831633876793, 12.17561893072227 -14.44914356858389, 12.50009524908302 -13.5476998836844, 12.73847863124544 -13.13790577560994, 13.31291385260184 -12.48363046636251, 13.63372114426983 -12.03864470789719, 13.73872765468693 -11.29786305099314, 13.6863794287753 -10.73107594161584, 13.38732791510216 -10.37357838302073, 13.12098758306988 -9.766897067914115, 12.87536950038657 -9.166933689005489, 12.9290613135378 -8.959091078327575, 13.23643273280987 -8.562629489784342, 12.93304039882432 -7.596538588087753, 12.72829837408392 -6.927122084178805, 12.22734703944644 -6.294447523629373, 12.32243167486357 -6.100092461779653, 12.7351713395787 -5.965682061388478, 13.02486941900699 -5.984388929878108, 13.3755973649719 -5.864241224799557, 16.32652835456705 -5.877470391466218)), ((12.43668826666092 -5.684303887559224, 12.18233686692028 -5.789930515163803, 11.91496300624212 -5.037986748884734, 12.31860761887393 -4.606230157086159, 12.62075971848455 -4.438023369976122, 12.99551720546521 -4.781103203961919, 12.63161176926585 -4.991271254092936, 12.46800418462976 -5.248361504744992, 12.43668826666092 -5.684303887559224)))"
2,3639453.0,Europe,Albania,ALB,21810.0,"POLYGON ((20.59024743010491 41.85540416113361, 20.4631750830992 41.51508901627534, 20.60518191903736 41.08622630468523, 21.0200403174764 40.84272695572588, 20.99998986174722 40.58000397395398, 20.67499677906363 40.43499990494303, 20.61500044117275 40.11000682225938, 20.15001590341052 39.62499766698397, 19.98000044117015 39.69499339452341, 19.96000166187321 39.91500580500605, 19.40608198413673 40.25077342382247, 19.31905887215714 40.72723012955356, 19.40354983895429 41.40956574153546, 19.54002729663711 41.71998607031276, 19.37176883309496 41.87754751237065, 19.30448611825079 42.19574514420782, 19.73805138517963 42.68824738216557, 19.80161339689869 42.50009349219084, 20.07070000000004 42.58863000000008, 20.28375451018189 42.32025950781508, 20.52295000000004 42.21787000000006, 20.59024743010491 41.85540416113361))"
3,4798491.0,Asia,United Arab Emirates,ARE,184300.0,"POLYGON ((51.57951867046327 24.24549713795111, 51.75744062684419 24.29407298430547, 51.79438927593287 24.01982615813251, 52.57708051942561 24.17743927662271, 53.40400678896015 24.15131684009917, 54.00800092958758 24.12175792082822, 54.69302371604863 24.79789236093509, 55.43902469261414 25.43914520924494, 56.07082075381456 26.05546417897398, 56.26104170108096 25.71460643157677, 56.396847365144 24.92473216399549, 55.88623253766801 24.92083059335745, 55.80411868675623 24.26960419361527, 55.98121382022046 24.13054291431783, 55.52863162620824 23.9336040308535, 55.52584109886448 23.52486928964093, 55.23448937360288 23.11099274341532, 55.20834109886319 22.70832998299705, 55.00680301292491 22.49694753670714, 52.00073327007433 23.00115448657894, 51.61770755392698 24.01421926522883, 51.57951867046327 24.24549713795111))"
4,40913584.0,South America,Argentina,ARG,573900.0,"MULTIPOLYGON (((-65.50000000000003 -55.19999999999996, -66.45000000000002 -55.25000000000002, -66.95992000000004 -54.89680999999997, -67.56244000000001 -54.87000999999996, -68.63334999999998 -54.86949999999995, -68.63401022758316 -52.63637045887446, -68.25 -53.09999999999997, -67.75000000000003 -53.84999999999999, -66.45000000000002 -54.45000000000002, -65.05000000000001 -54.69999999999997, -65.50000000000003 -55.19999999999996)), ((-64.96489213729458 -22.07586150481235, -64.37702104354227 -22.79809132252355, -63.98683814152247 -21.99364430103596, -62.84646847192155 -22.03498544686946, -62.6850571356579 -22.2490292294224, -60.84656470400995 -23.8807125790383, -60.02896603050399 -24.03279631927325, -58.80712846539495 -24.77145924245328, -57.77721716981796 -25.16233977630904, -57.63366004091114 -25.60365650808167, -58.61817359071972 -27.12371876394712, -57.60975969097615 -27.39589853282843, -56.486701626193 -27.54849903738625, -55.6958455063982 -27.38783700939082, -54.78879492859505 -26.62178557709609, -54.62529069682355 -25.73925546641549, -54.13004960795442 -25.54763925547725, -53.62834896504873 -26.12486500417744, -53.64873531758789 -26.92347258881611, -54.49072526713553 -27.47475676850577, -55.1622863429846 -27.88191537853342, -56.2908996242391 -28.85276051200086, -57.62513342958292 -30.21629485445425, -57.87493730328191 -31.01655608492617, -58.14244035504075 -32.04450367607619, -58.13264767112142 -33.04056690850202, -58.34961117209883 -33.26318897881544, -58.42707414410438 -33.90945444105755, -58.49544206402655 -34.43148976007011, -57.22582963726364 -35.28802662530789, -57.36235877137875 -35.9773902320815, -56.73748735210546 -36.41312590916658, -56.78828528504835 -36.90157154718933, -57.74915686708343 -38.18387053807992, -59.23185706240187 -38.72022022883721, -61.23744523786561 -38.92842457454115, -62.33595699731015 -38.82770720800437, -62.12576310896293 -39.42410491308488, -62.33053097191944 -40.17258635840032, -62.14599443220524 -40.67689666113674, -62.74580278181699 -41.02876148861209, -63.77049475773254 -41.16678923926366, -64.73208980981971 -40.80267709733513, -65.11803524439159 -41.06431487402888, -64.97856055363584 -42.05800099056933, -64.30340796574248 -42.3590162086695, -63.75594784204236 -42.04368661882451, -63.45805904809589 -42.56313811622236, -64.3788038804563 -42.87355844499965, -65.18180396183971 -43.4953809547678, -65.32882341171015 -44.5013660621937, -65.56526892766161 -45.03678557716979, -66.50996578638936 -45.03962778094585, -67.29379391139244 -45.5518962542552, -67.58054643418009 -46.30177296324254, -66.59706641301727 -47.03392465595381, -65.64102657740145 -47.23613453551189, -65.98508826360074 -48.13328907653114, -67.16617896184766 -48.69733733499694, -67.81608761256646 -49.86966887797042, -68.72874508327317 -50.26421843851887, -69.1385391913478 -50.7325102679478, -68.81556148952353 -51.7711040115941, -68.14999487982041 -52.34998340612771, -68.57154537624135 -52.29944385534626, -69.49836218939609 -52.14276091263725, -71.91480383979635 -52.00902230586593, -72.32940385607404 -51.42595631287241, -72.30997351753237 -50.67700977966636, -72.97574683296463 -50.74145029073431, -73.32805091011448 -50.37878508890987, -73.41543575712004 -49.31843637471296, -72.64824744331494 -48.87861825947679, -72.33116085477195 -48.24423837666183, -72.44735531278027 -47.73853281025353, -71.91725847033021 -46.8848381487918, -71.55200944689125 -45.56073292417713, -71.65931555854533 -44.97368865334144, -71.22277889675973 -44.78424285255942, -71.32980078803621 -44.40752166115169, -71.79362260607195 -44.20717213315611, -71.46405615913051 -43.78761117937833, -71.91542395698391 -43.40856454851742, -72.14889807807853 -42.25488819760139, -71.74680375841547 -42.051386407236, -71.91573401557756 -40.83233936947073, -71.68076127794646 -39.80816415787807, -71.41351660834906 -38.91602223079111, -70.81466427273472 -38.55299529394074, -71.11862504747543 -37.5768274879472, -71.1218806627098 -36.65812387466234, -70.36476925320167 -36.00508879978995, -70.3880494859491 -35.16968759535945, -69.81730912950147 -34.19357146579829, -69.81477698431922 -33.27388600029985, -70.07439938015364 -33.09120981214804, -70.53506893581945 -31.36501026787029, -69.91900834825194 -30.33633920666831, -70.01355038112987 -29.36792286551855, -69.65613033718316 -28.45914112723369, -69.00123491074828 -27.52121388113613, -68.29554155137041 -26.89933969493579, -68.59479977077268 -26.50690886811127, -68.38600114609736 -26.18501637136524, -68.41765296087613 -24.51855478281688, -67.32844295924414 -24.02530323659091, -66.98523393417764 -22.98634856536283, -67.10667355006362 -22.7359245744764, -66.27333940292485 -21.83231047942068, -64.96489213729458 -22.07586150481235)))"
